Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
115.000000	1.55381   	115.000000	2.09437   	115.000000	2.09314   	115.000000	2.08494   	115.000000	2.09352   	115.000000	0.000842836	
120.000000	1.50653   	120.000000	2.03072   	120.000000	2.03003   	120.000000	2.02104   	120.000000	2.02991   	120.000000	0.000810744	
125.000000	1.46274   	125.000000	1.9719    	125.000000	1.97179   	125.000000	1.962     	125.000000	1.97112   	125.000000	0.0007811 	
130.000000	1.42205   	130.000000	1.91738   	130.000000	1.91762   	130.000000	1.90728   	130.000000	1.91662   	130.000000	0.000753632	
135.000000	1.38414   	135.000000	1.8667    	135.000000	1.86727   	135.000000	1.85644   	135.000000	1.86597   	135.000000	0.000728105	
140.000000	1.34872   	140.000000	1.81947   	140.000000	1.82034   	140.000000	1.80906   	140.000000	1.81877   	140.000000	0.000704318	
145.000000	1.31555   	145.000000	1.77535   	145.000000	1.77651   	145.000000	1.76481   	145.000000	1.77467   	145.000000	0.000682096	
150.000000	1.28441   	150.000000	1.73404   	150.000000	1.73546   	150.000000	1.72338   	150.000000	1.73338   	150.000000	0.000661288	
155.000000	1.24047   	155.000000	1.69528   	155.000000	1.69686   	155.000000	1.68451   	155.000000	1.69463   	155.000000	0.000641761	
160.000000	1.21476   	160.000000	1.65883   	160.000000	1.66048   	160.000000	1.64798   	160.000000	1.65821   	160.000000	0.000623399	
165.000000	1.19051   	165.000000	1.6245    	165.000000	1.62624   	165.000000	1.61357   	165.000000	1.62389   	165.000000	0.0006061 	
170.000000	1.16759   	170.000000	1.59211   	170.000000	1.59402   	170.000000	1.58111   	170.000000	1.59152   	170.000000	0.000589772	
175.000000	1.1459    	175.000000	1.56149   	175.000000	1.56361   	175.000000	1.55044   	175.000000	1.56092   	175.000000	0.000574334	
