Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
17.000000	5.90545   	17.000000	8.02068   	17.000000	7.98055   	17.000000	8.11069   	17.000000	8.01646   	17.000000	0.00422555	
18.000000	5.65809   	18.000000	7.69618   	18.000000	7.63894   	18.000000	7.77261   	18.000000	7.69217   	18.000000	0.0040148 	
19.000000	5.43257   	19.000000	7.3983    	19.000000	7.32769   	19.000000	7.46352   	19.000000	7.39448   	19.000000	0.003825  	
20.000000	5.22606   	20.000000	7.12391   	20.000000	7.04311   	20.000000	7.17999   	20.000000	7.12026   	20.000000	0.00365313	
21.000000	5.03623   	21.000000	6.87036   	21.000000	6.7821    	21.000000	6.91911   	21.000000	6.86686   	21.000000	0.00349673	
22.000000	4.86109   	22.000000	6.63536   	22.000000	6.54205   	22.000000	6.67839   	22.000000	6.632     	22.000000	0.00335377	
23.000000	4.69898   	23.000000	6.41696   	23.000000	6.32065   	23.000000	6.45571   	23.000000	6.41373   	23.000000	0.00322257	
24.000000	4.54847   	24.000000	6.21346   	24.000000	6.11592   	24.000000	6.24924   	24.000000	6.21036   	24.000000	0.0031017 	
25.000000	4.40835   	25.000000	6.0234    	25.000000	5.92614   	25.000000	6.05736   	25.000000	6.02041   	25.000000	0.00298997	
27.000000	4.15515   	27.000000	5.67861   	27.000000	5.58572   	27.000000	5.712     	27.000000	5.67582   	27.000000	0.00279003	
29.000000	3.93249   	29.000000	5.37405   	29.000000	5.28952   	29.000000	5.41043   	29.000000	5.37143   	29.000000	0.00261624	
31.000000	3.73507   	31.000000	5.10308   	31.000000	5.02851   	31.000000	5.13819   	31.000000	5.10062   	31.000000	0.00246371	
33.000000	3.55877   	33.000000	4.86044   	33.000000	4.79409   	33.000000	4.8889    	33.000000	4.85812   	33.000000	0.00232872	
35.000000	3.40031   	35.000000	4.64191   	35.000000	4.58238   	35.000000	4.66496   	35.000000	4.6397    	35.000000	0.00220835	
38.000000	3.19049   	38.000000	4.352     	38.000000	4.30108   	38.000000	4.36871   	38.000000	4.34995   	38.000000	0.00205037	
41.000000	3.00815   	41.000000	4.09968   	41.000000	4.05599   	41.000000	4.1116    	41.000000	4.09776   	41.000000	0.00191435	
44.000000	2.84815   	44.000000	3.87808   	44.000000	3.84029   	44.000000	3.88632   	44.000000	3.87628   	44.000000	0.00179595	
47.000000	2.70655   	47.000000	3.6819    	47.000000	3.64946   	47.000000	3.68728   	47.000000	3.68021   	47.000000	0.00169193	
50.000000	2.58029   	50.000000	3.507     	50.000000	3.47882   	50.000000	3.51011   	50.000000	3.5054    	50.000000	0.00159976	
55.000000	2.39765   	55.000000	3.25413   	55.000000	3.23167   	55.000000	3.25441   	55.000000	3.25266   	55.000000	0.00146743	
60.000000	2.24274   	60.000000	3.03992   	60.000000	3.02189   	60.000000	3.03818   	60.000000	3.03857   	60.000000	0.0013561 	
65.000000	2.1096    	65.000000	2.85612   	65.000000	2.8417    	65.000000	2.85288   	65.000000	2.85485   	65.000000	0.0012611 	
70.000000	1.99385   	70.000000	2.69664   	70.000000	2.68506   	70.000000	2.69227   	70.000000	2.69546   	70.000000	0.00117902	
75.000000	1.89224   	75.000000	2.55695   	75.000000	2.54787   	75.000000	2.55169   	75.000000	2.55584   	75.000000	0.00110737	
80.000000	1.80229   	80.000000	2.43355   	80.000000	2.42634   	80.000000	2.42759   	80.000000	2.4325    	80.000000	0.00104426	
85.000000	1.72205   	85.000000	2.32374   	85.000000	2.31785   	85.000000	2.31721   	85.000000	2.32275   	85.000000	0.000988221	
90.000000	1.65      	90.000000	2.22539   	90.000000	2.22092   	90.000000	2.21838   	90.000000	2.22445   	90.000000	0.00093812	
95.000000	1.58493   	95.000000	2.13677   	95.000000	2.13329   	95.000000	2.12936   	95.000000	2.13588   	95.000000	0.000893047	
100.000000	1.52584   	100.000000	2.05651   	100.000000	2.05367   	100.000000	2.04876   	100.000000	2.05565   	100.000000	0.000852271	
105.000000	1.47194   	105.000000	1.98346   	105.000000	1.98143   	105.000000	1.97541   	105.000000	1.98265   	105.000000	0.000815199	
110.000000	1.42255   	110.000000	1.9167    	110.000000	1.91522   	110.000000	1.90839   	110.000000	1.91591   	110.000000	0.000781341	
115.000000	1.37711   	115.000000	1.85543   	115.000000	1.85439   	115.000000	1.8469    	115.000000	1.85468   	115.000000	0.000750291	
120.000000	1.33516   	120.000000	1.79901   	120.000000	1.79839   	120.000000	1.79028   	120.000000	1.79829   	120.000000	0.00072171	
125.000000	1.29631   	125.000000	1.74688   	125.000000	1.74664   	125.000000	1.73797   	125.000000	1.74618   	125.000000	0.00069531	
130.000000	1.26021   	130.000000	1.69856   	130.000000	1.69865   	130.000000	1.6895    	130.000000	1.69789   	130.000000	0.000670847	
135.000000	1.22658   	135.000000	1.65365   	135.000000	1.6539    	135.000000	1.64445   	135.000000	1.653     	135.000000	0.000648114	
140.000000	1.19516   	140.000000	1.6118    	140.000000	1.61228   	140.000000	1.60248   	140.000000	1.61117   	140.000000	0.000626931	
145.000000	1.16574   	145.000000	1.5727    	145.000000	1.57344   	145.000000	1.56327   	145.000000	1.57209   	145.000000	0.000607141	
150.000000	1.13812   	150.000000	1.5361    	150.000000	1.53695   	150.000000	1.52657   	150.000000	1.53551   	150.000000	0.000588612	
155.000000	1.09917   	155.000000	1.50175   	155.000000	1.50271   	155.000000	1.49214   	155.000000	1.50118   	155.000000	0.000571223	
160.000000	1.07637   	160.000000	1.46946   	160.000000	1.47053   	160.000000	1.45978   	160.000000	1.4689    	160.000000	0.000554872	
165.000000	1.05486   	165.000000	1.43904   	165.000000	1.44021   	165.000000	1.4293    	165.000000	1.4385    	165.000000	0.000539467	
170.000000	1.03453   	170.000000	1.41034   	170.000000	1.41161   	170.000000	1.40055   	170.000000	1.40982   	170.000000	0.000524928	
175.000000	1.0153    	175.000000	1.38322   	175.000000	1.38457   	175.000000	1.37338   	175.000000	1.38271   	175.000000	0.000511182	
180.000000	0.997063  	180.000000	1.35754   	180.000000	1.35898   	180.000000	1.34767   	180.000000	1.35704   	180.000000	0.000498165	
185.000000	0.979753  	185.000000	1.3332    	185.000000	1.33473   	185.000000	1.3233    	185.000000	1.33271   	185.000000	0.000485821	
190.000000	0.963297  	190.000000	1.31009   	190.000000	1.31171   	190.000000	1.30017   	190.000000	1.30962   	190.000000	0.000474097	
195.000000	0.947634  	195.000000	1.28813   	195.000000	1.28978   	195.000000	1.27819   	195.000000	1.28766   	195.000000	0.000462947	
200.000000	0.932707  	200.000000	1.26722   	200.000000	1.26887   	200.000000	1.25727   	200.000000	1.26677   	200.000000	0.000452331	
210.000000	0.904862  	210.000000	1.2283    	210.000000	1.23008   	210.000000	1.21834   	210.000000	1.22786   	210.000000	0.000432547	
220.000000	0.879403  	220.000000	1.1928    	220.000000	1.19462   	220.000000	1.18286   	220.000000	1.19238   	220.000000	0.000414484	
230.000000	0.856036  	230.000000	1.16029   	230.000000	1.16218   	230.000000	1.15039   	230.000000	1.1599    	230.000000	0.000397924	
240.000000	0.834511  	240.000000	1.13042   	240.000000	1.13242   	240.000000	1.12057   	240.000000	1.13004   	240.000000	0.000382684	
250.000000	0.814618  	250.000000	1.10288   	250.000000	1.10494   	250.000000	1.09308   	250.000000	1.10251   	250.000000	0.000368611	
260.000000	0.796177  	260.000000	1.0774    	260.000000	1.07951   	260.000000	1.06768   	260.000000	1.07705   	260.000000	0.000355573	
270.000000	0.779035  	270.000000	1.05377   	270.000000	1.05594   	270.000000	1.04413   	270.000000	1.05343   	270.000000	0.000343461	
280.000000	0.763059  	280.000000	1.03179   	280.000000	1.03403   	280.000000	1.02224   	280.000000	1.03146   	280.000000	0.000332176	
290.000000	0.748135  	290.000000	1.0113    	290.000000	1.01361   	290.000000	1.00184   	290.000000	1.01098   	290.000000	0.000321636	
300.000000	0.734162  	300.000000	0.992152  	300.000000	0.994538  	300.000000	0.982798  	300.000000	0.991841  	300.000000	0.000311769	
310.000000	0.721053  	310.000000	0.974223  	310.000000	0.97669   	310.000000	0.964977  	310.000000	0.973921  	310.000000	0.000302511	
320.000000	0.708731  	320.000000	0.957401  	320.000000	0.959953  	320.000000	0.948267  	320.000000	0.957107  	320.000000	0.000293808	
330.000000	0.697127  	330.000000	0.941588  	330.000000	0.94423   	330.000000	0.93257   	330.000000	0.941303  	330.000000	0.000285609	
340.000000	0.686182  	340.000000	0.926699  	340.000000	0.929432  	340.000000	0.9178    	340.000000	0.926421  	340.000000	0.000277873	
350.000000	0.675841  	350.000000	0.912657  	350.000000	0.91548   	350.000000	0.903878  	350.000000	0.912386  	350.000000	0.000270559	
360.000000	0.666057  	360.000000	0.899392  	360.000000	0.902322  	360.000000	0.890739  	360.000000	0.899128  	360.000000	0.000263635	
370.000000	0.656787  	370.000000	0.886845  	370.000000	0.889799  	370.000000	0.878241  	370.000000	0.886587  	370.000000	0.00025707	
380.000000	0.647993  	380.000000	0.874959  	380.000000	0.877899  	380.000000	0.866411  	380.000000	0.874708  	380.000000	0.000250835	
390.000000	0.639639  	390.000000	0.863686  	390.000000	0.866606  	390.000000	0.855196  	390.000000	0.863441  	390.000000	0.000244907	
400.000000	0.631694  	400.000000	0.852982  	400.000000	0.855925  	400.000000	0.844553  	400.000000	0.852742  	400.000000	0.000239263	
410.000000	0.624129  	410.000000	0.842805  	410.000000	0.845796  	410.000000	0.83444   	410.000000	0.842571  	410.000000	0.000233882	
420.000000	0.61692   	420.000000	0.833119  	420.000000	0.836153  	420.000000	0.824821  	420.000000	0.83289   	420.000000	0.000228747	
430.000000	0.610042  	430.000000	0.823891  	430.000000	0.826969  	430.000000	0.815662  	430.000000	0.823667  	430.000000	0.000223841	
440.000000	0.603474  	440.000000	0.81509   	440.000000	0.818223  	440.000000	0.806932  	440.000000	0.814871  	440.000000	0.000219149	
450.000000	0.597196  	450.000000	0.80669   	450.000000	0.809869  	450.000000	0.798602  	450.000000	0.806475  	450.000000	0.000214656	
460.000000	0.59119   	460.000000	0.798664  	460.000000	0.801863  	460.000000	0.790649  	460.000000	0.798454  	460.000000	0.000210351	
470.000000	0.58544   	470.000000	0.79099   	470.000000	0.794198  	470.000000	0.783047  	470.000000	0.790783  	470.000000	0.000206221	
480.000000	0.579931  	480.000000	0.783645  	480.000000	0.786884  	480.000000	0.775776  	480.000000	0.783443  	480.000000	0.000202256	
490.000000	0.574648  	490.000000	0.776611  	490.000000	0.779906  	490.000000	0.768815  	490.000000	0.776413  	490.000000	0.000198447	
500.000000	0.56958   	500.000000	0.769869  	500.000000	0.773218  	500.000000	0.762146  	500.000000	0.769674  	500.000000	0.000194783	
520.000000	0.560036  	520.000000	0.757197  	520.000000	0.760591  	520.000000	0.749619  	520.000000	0.757009  	520.000000	0.000187862	
540.000000	0.551216  	540.000000	0.745509  	540.000000	0.748985  	540.000000	0.738073  	540.000000	0.745327  	540.000000	0.000181432	
560.000000	0.543045  	560.000000	0.734702  	560.000000	0.738278  	560.000000	0.727405  	560.000000	0.734527  	560.000000	0.000175443	
580.000000	0.535459  	580.000000	0.724689  	580.000000	0.728309  	580.000000	0.717524  	580.000000	0.724519  	580.000000	0.000169851	
600.000000	0.528403  	600.000000	0.715391  	600.000000	0.71909   	600.000000	0.708354  	600.000000	0.715226  	600.000000	0.000164616	
620.000000	0.521829  	620.000000	0.706741  	620.000000	0.710534  	620.000000	0.699826  	620.000000	0.706582  	620.000000	0.000159706	
640.000000	0.515693  	640.000000	0.698681  	640.000000	0.702519  	640.000000	0.691879  	640.000000	0.698526  	640.000000	0.00015509	
660.000000	0.509959  	660.000000	0.691157  	660.000000	0.695038  	660.000000	0.684462  	660.000000	0.691006  	660.000000	0.000150742	
680.000000	0.504591  	680.000000	0.684124  	680.000000	0.688079  	680.000000	0.677527  	680.000000	0.683978  	680.000000	0.000146641	
700.000000	0.499561  	700.000000	0.677541  	700.000000	0.681558  	700.000000	0.671034  	700.000000	0.677398  	700.000000	0.000142764	
720.000000	0.494841  	720.000000	0.671371  	720.000000	0.675417  	720.000000	0.664945  	720.000000	0.671232  	720.000000	0.000139094	
740.000000	0.490409  	740.000000	0.665582  	740.000000	0.669636  	740.000000	0.659228  	740.000000	0.665446  	740.000000	0.000135615	
760.000000	0.486243  	760.000000	0.660144  	760.000000	0.664203  	760.000000	0.653853  	760.000000	0.660011  	760.000000	0.000132311	
780.000000	0.482322  	780.000000	0.65503   	780.000000	0.659099  	780.000000	0.648794  	780.000000	0.654901  	780.000000	0.00012917	
800.000000	0.47863   	800.000000	0.650218  	800.000000	0.654306  	800.000000	0.644026  	800.000000	0.650092  	800.000000	0.00012618	
820.000000	0.475152  	820.000000	0.645686  	820.000000	0.649793  	820.000000	0.639528  	820.000000	0.645562  	820.000000	0.00012333	
840.000000	0.471872  	840.000000	0.641413  	840.000000	0.645524  	840.000000	0.635281  	840.000000	0.641292  	840.000000	0.00012061	
860.000000	0.468777  	860.000000	0.637383  	860.000000	0.641475  	860.000000	0.631267  	860.000000	0.637265  	860.000000	0.000118012	
880.000000	0.465857  	880.000000	0.633579  	880.000000	0.637635  	880.000000	0.62747   	880.000000	0.633463  	880.000000	0.000115528	
900.000000	0.463098  	900.000000	0.629986  	900.000000	0.633996  	900.000000	0.623874  	900.000000	0.629873  	900.000000	0.000113149	
