Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
300.000000	1.03501   	300.000000	1.19343   	300.000000	1.20188   	300.000000	1.18467   	300.000000	1.19311   	300.000000	0.00032371	
310.000000	1.01655   	310.000000	1.17212   	310.000000	1.18057   	310.000000	1.16335   	310.000000	1.1718    	310.000000	0.000314107	
320.000000	0.999192  	320.000000	1.15212   	320.000000	1.16059   	320.000000	1.14336   	320.000000	1.15182   	320.000000	0.000305078	
330.000000	0.982848  	330.000000	1.13332   	330.000000	1.14174   	330.000000	1.12458   	330.000000	1.13303   	330.000000	0.000296573	
340.000000	0.967431  	340.000000	1.11562   	340.000000	1.12399   	340.000000	1.10691   	340.000000	1.11533   	340.000000	0.000288547	
350.000000	0.952864  	350.000000	1.09893   	350.000000	1.10734   	350.000000	1.09025   	350.000000	1.09865   	350.000000	0.000280959	
360.000000	0.939081  	360.000000	1.08316   	360.000000	1.09158   	360.000000	1.07453   	360.000000	1.08289   	360.000000	0.000273776	
370.000000	0.926022  	370.000000	1.06824   	370.000000	1.07655   	370.000000	1.05959   	370.000000	1.06797   	370.000000	0.000266964	
380.000000	0.913631  	380.000000	1.05411   	380.000000	1.06239   	380.000000	1.04544   	380.000000	1.05385   	380.000000	0.000260495	
390.000000	0.901861  	390.000000	1.04071   	390.000000	1.04898   	390.000000	1.03204   	390.000000	1.04045   	390.000000	0.000254344	
400.000000	0.890666  	400.000000	1.02798   	400.000000	1.03619   	400.000000	1.01931   	400.000000	1.02773   	400.000000	0.000248487	
410.000000	0.880008  	410.000000	1.01588   	410.000000	1.02403   	410.000000	1.00722   	410.000000	1.01564   	410.000000	0.000242905	
420.000000	0.869849  	420.000000	1.00436   	420.000000	1.01251   	420.000000	0.995725  	420.000000	1.00412   	420.000000	0.000237576	
430.000000	0.860157  	430.000000	0.993389  	430.000000	1.00156   	430.000000	0.984778  	430.000000	0.993157  	430.000000	0.000232485	
440.000000	0.850901  	440.000000	0.982924  	440.000000	0.991083  	440.000000	0.974344  	440.000000	0.982697  	440.000000	0.000227616	
450.000000	0.842054  	450.000000	0.972934  	450.000000	0.981059  	450.000000	0.96439   	450.000000	0.972711  	450.000000	0.000222954	
460.000000	0.833591  	460.000000	0.96339   	460.000000	0.971481  	460.000000	0.954885  	460.000000	0.963171  	460.000000	0.000218486	
470.000000	0.825488  	470.000000	0.954262  	470.000000	0.962338  	470.000000	0.945802  	470.000000	0.954048  	470.000000	0.0002142 	
480.000000	0.817724  	480.000000	0.945527  	480.000000	0.953619  	480.000000	0.937115  	480.000000	0.945317  	480.000000	0.000210086	
490.000000	0.810278  	490.000000	0.93716   	490.000000	0.945294  	490.000000	0.928799  	490.000000	0.936954  	490.000000	0.000206132	
500.000000	0.803135  	500.000000	0.929141  	500.000000	0.937316  	500.000000	0.920833  	500.000000	0.928939  	500.000000	0.00020233	
520.000000	0.789684  	520.000000	0.914066  	520.000000	0.922264  	520.000000	0.905871  	520.000000	0.913871  	520.000000	0.000195146	
540.000000	0.777252  	540.000000	0.90016   	540.000000	0.908373  	540.000000	0.892085  	540.000000	0.899972  	540.000000	0.000188473	
560.000000	0.765734  	560.000000	0.887302  	560.000000	0.895551  	560.000000	0.87935   	560.000000	0.88712   	560.000000	0.000182257	
580.000000	0.755042  	580.000000	0.875386  	580.000000	0.883674  	580.000000	0.867559  	580.000000	0.875209  	580.000000	0.000176452	
600.000000	0.745096  	600.000000	0.86432   	600.000000	0.872652  	600.000000	0.856618  	600.000000	0.864149  	600.000000	0.000171019	
620.000000	0.735829  	620.000000	0.854024  	620.000000	0.862403  	620.000000	0.846446  	620.000000	0.853858  	620.000000	0.000165921	
640.000000	0.72718   	640.000000	0.844427  	640.000000	0.852856  	640.000000	0.836971  	640.000000	0.844266  	640.000000	0.00016113	
660.000000	0.719095  	660.000000	0.835469  	660.000000	0.843946  	660.000000	0.82813   	660.000000	0.835312  	660.000000	0.000156617	
680.000000	0.711528  	680.000000	0.827093  	680.000000	0.835618  	680.000000	0.819868  	680.000000	0.82694   	680.000000	0.000152359	
700.000000	0.704437  	700.000000	0.819251  	700.000000	0.827821  	700.000000	0.812134  	700.000000	0.819103  	700.000000	0.000148334	
720.000000	0.697784  	720.000000	0.8119    	720.000000	0.820512  	720.000000	0.804885  	720.000000	0.811756  	720.000000	0.000144524	
740.000000	0.691536  	740.000000	0.805002  	740.000000	0.813652  	740.000000	0.798081  	740.000000	0.804861  	740.000000	0.000140912	
760.000000	0.685661  	760.000000	0.79852   	760.000000	0.807204  	760.000000	0.791687  	760.000000	0.798382  	760.000000	0.000137482	
780.000000	0.680134  	780.000000	0.792424  	780.000000	0.801136  	780.000000	0.785671  	780.000000	0.79229   	780.000000	0.000134221	
800.000000	0.67493   	800.000000	0.786686  	800.000000	0.79542   	800.000000	0.780005  	800.000000	0.786555  	800.000000	0.000131116	
820.000000	0.670025  	820.000000	0.781279  	820.000000	0.79003   	820.000000	0.774662  	820.000000	0.781151  	820.000000	0.000128157	
840.000000	0.665401  	840.000000	0.776182  	840.000000	0.784943  	840.000000	0.76962   	840.000000	0.776057  	840.000000	0.000125334	
860.000000	0.661038  	860.000000	0.771373  	860.000000	0.780136  	860.000000	0.764857  	860.000000	0.77125   	860.000000	0.000122636	
880.000000	0.65692   	880.000000	0.766832  	880.000000	0.77559   	880.000000	0.760353  	880.000000	0.766712  	880.000000	0.000120056	
900.000000	0.653032  	900.000000	0.762542  	900.000000	0.771289  	900.000000	0.756092  	900.000000	0.762425  	900.000000	0.000117586	
920.000000	0.649358  	920.000000	0.758488  	920.000000	0.767215  	920.000000	0.752056  	920.000000	0.758373  	920.000000	0.000115219	
940.000000	0.645887  	940.000000	0.754654  	940.000000	0.763353  	940.000000	0.748231  	940.000000	0.754541  	940.000000	0.000112949	
960.000000	0.642607  	960.000000	0.751027  	960.000000	0.75969   	960.000000	0.744604  	960.000000	0.750916  	960.000000	0.00011077	
