Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
15.000000	8.08362   	15.000000	9.40896   	15.000000	9.50984   	15.000000	9.65801   	15.000000	9.40489   	15.000000	0.00407677	
16.000000	7.71328   	16.000000	9.01521   	16.000000	9.05865   	16.000000	9.21774   	16.000000	9.01136   	16.000000	0.00384752	
17.000000	7.37846   	17.000000	8.65416   	17.000000	8.6524    	17.000000	8.81946   	17.000000	8.65051   	17.000000	0.00364379	
18.000000	7.0742    	18.000000	8.322     	18.000000	8.2851    	18.000000	8.45768   	18.000000	8.31854   	18.000000	0.00346147	
19.000000	6.79643   	19.000000	8.01548   	19.000000	7.95182   	19.000000	8.12785   	19.000000	8.01218   	19.000000	0.00329732	
20.000000	6.54179   	20.000000	7.73179   	20.000000	7.64842   	20.000000	7.82614   	20.000000	7.72865   	20.000000	0.0031487 	
21.000000	6.30745   	21.000000	7.46852   	21.000000	7.37115   	21.000000	7.54933   	21.000000	7.46551   	21.000000	0.00301348	
22.000000	6.09103   	22.000000	7.22357   	22.000000	7.11672   	22.000000	7.29465   	22.000000	7.22068   	22.000000	0.0028899 	
23.000000	5.89053   	23.000000	6.99511   	23.000000	6.8826    	23.000000	7.05973   	23.000000	6.99233   	23.000000	0.00277649	
24.000000	5.70421   	24.000000	6.78155   	24.000000	6.66681   	24.000000	6.84255   	24.000000	6.77887   	24.000000	0.00267204	
25.000000	5.53061   	25.000000	6.58148   	25.000000	6.46759   	25.000000	6.64133   	25.000000	6.57891   	25.000000	0.0025755 	
27.000000	5.21657   	27.000000	6.21707   	27.000000	6.11274   	27.000000	6.2808    	27.000000	6.21467   	27.000000	0.00240278	
29.000000	4.94003   	29.000000	5.89365   	29.000000	5.80646   	29.000000	5.96796   	29.000000	5.89139   	29.000000	0.00225268	
31.000000	4.69456   	31.000000	5.60469   	31.000000	5.53117   	31.000000	5.67891   	31.000000	5.60257   	31.000000	0.00212097	
33.000000	4.4751    	33.000000	5.34499   	33.000000	5.27731   	33.000000	5.40639   	33.000000	5.34298   	33.000000	0.00200443	
35.000000	4.27768   	35.000000	5.11033   	35.000000	5.04866   	35.000000	5.16118   	35.000000	5.10843   	35.000000	0.00190054	
38.000000	4.01597   	38.000000	4.79793   	38.000000	4.74318   	38.000000	4.83619   	38.000000	4.79616   	38.000000	0.00176421	
41.000000	3.78829   	41.000000	4.52503   	41.000000	4.4765    	41.000000	4.55363   	41.000000	4.52339   	41.000000	0.00164686	
44.000000	3.5883    	44.000000	4.28461   	44.000000	4.24121   	44.000000	4.30567   	44.000000	4.28306   	44.000000	0.00154474	
47.000000	3.41115   	47.000000	4.07118   	47.000000	4.03237   	47.000000	4.0863    	47.000000	4.06972   	47.000000	0.00145503	
50.000000	3.25309   	50.000000	3.88045   	50.000000	3.84596   	50.000000	3.89083   	50.000000	3.87907   	50.000000	0.00137557	
55.000000	3.02422   	55.000000	3.60395   	55.000000	3.57465   	55.000000	3.6084    	55.000000	3.60269   	55.000000	0.0012615 	
60.000000	2.82992   	60.000000	3.36907   	60.000000	3.3447    	60.000000	3.36929   	60.000000	3.3679    	60.000000	0.00116556	
65.000000	2.66277   	65.000000	3.16704   	65.000000	3.14624   	65.000000	3.1642    	65.000000	3.16596   	65.000000	0.0010837 	
70.000000	2.51736   	70.000000	2.99142   	70.000000	2.97368   	70.000000	2.98632   	70.000000	2.9904    	70.000000	0.001013  	
75.000000	2.38964   	75.000000	2.83732   	75.000000	2.82221   	75.000000	2.83055   	75.000000	2.83637   	75.000000	0.000951294	
80.000000	2.27649   	80.000000	2.70101   	80.000000	2.68834   	80.000000	2.69298   	80.000000	2.70011   	80.000000	0.000896948	
85.000000	2.17553   	85.000000	2.57957   	85.000000	2.5688    	85.000000	2.57059   	85.000000	2.57872   	85.000000	0.000848705	
90.000000	2.08483   	90.000000	2.47068   	90.000000	2.46135   	90.000000	2.46097   	90.000000	2.46987   	90.000000	0.000805578	
95.000000	2.00288   	95.000000	2.37248   	95.000000	2.36451   	95.000000	2.36222   	95.000000	2.37172   	95.000000	0.000766784	
100.000000	1.92845   	100.000000	2.28347   	100.000000	2.27675   	100.000000	2.2728    	100.000000	2.28274   	100.000000	0.000731694	
105.000000	1.86052   	105.000000	2.20241   	105.000000	2.19686   	105.000000	2.19142   	105.000000	2.20171   	105.000000	0.000699795	
110.000000	1.79827   	110.000000	2.12828   	110.000000	2.12362   	110.000000	2.11706   	110.000000	2.12761   	110.000000	0.000670665	
115.000000	1.74098   	115.000000	2.06021   	115.000000	2.05635   	115.000000	2.04883   	115.000000	2.05957   	115.000000	0.000643955	
120.000000	1.68808   	120.000000	1.9975    	120.000000	1.99439   	120.000000	1.986     	120.000000	1.99688   	120.000000	0.00061937	
125.000000	1.63907   	125.000000	1.93953   	125.000000	1.93714   	125.000000	1.92796   	125.000000	1.93893   	125.000000	0.000596664	
130.000000	1.59353   	130.000000	1.88578   	130.000000	1.88406   	130.000000	1.87417   	130.000000	1.8852    	130.000000	0.000575627	
135.000000	1.55109   	135.000000	1.8358    	135.000000	1.83455   	135.000000	1.82419   	135.000000	1.83524   	135.000000	0.000556078	
140.000000	1.51144   	140.000000	1.78921   	140.000000	1.78851   	140.000000	1.77762   	140.000000	1.78868   	140.000000	0.000537864	
145.000000	1.4743    	145.000000	1.74568   	145.000000	1.74554   	145.000000	1.73413   	145.000000	1.74516   	145.000000	0.00052085	
150.000000	1.43944   	150.000000	1.70491   	150.000000	1.70518   	150.000000	1.69341   	150.000000	1.70441   	150.000000	0.00050492	
155.000000	1.39023   	155.000000	1.66665   	155.000000	1.66729   	155.000000	1.65522   	155.000000	1.66616   	155.000000	0.000489972	
160.000000	1.36144   	160.000000	1.63067   	160.000000	1.6317    	160.000000	1.61932   	160.000000	1.63019   	160.000000	0.000475918	
165.000000	1.33429   	165.000000	1.59677   	165.000000	1.59818   	165.000000	1.58552   	165.000000	1.59631   	165.000000	0.000462677	
