Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
11.000000	11.1128   	11.000000	12.543    	11.000000	13.1287   	11.000000	13.1868   	11.000000	12.537    	11.000000	0.00596089	
12.000000	10.4669   	12.000000	11.9209   	12.000000	12.3387   	12.000000	12.4403   	12.000000	11.9154   	12.000000	0.00551532	
13.000000	9.89808   	13.000000	11.3574   	13.000000	11.6439   	13.000000	11.7781   	13.000000	11.3523   	13.000000	0.00513453	
14.000000	9.39304   	14.000000	10.8452   	14.000000	11.0283   	14.000000	11.1871   	14.000000	10.8404   	14.000000	0.00480514	
15.000000	8.9415    	15.000000	10.378    	15.000000	10.4795   	15.000000	10.6567   	15.000000	10.3735   	15.000000	0.00451726	
16.000000	8.53525   	16.000000	9.95035   	16.000000	9.98769   	16.000000	10.1783   	16.000000	9.94609   	16.000000	0.0042634 	
17.000000	8.16769   	17.000000	9.55767   	17.000000	9.54483   	17.000000	9.74509   	17.000000	9.55364   	17.000000	0.00403778	
18.000000	7.83346   	18.000000	9.19595   	18.000000	9.14405   	18.000000	9.35108   	18.000000	9.19212   	18.000000	0.00383588	
19.000000	7.52814   	19.000000	8.86175   	19.000000	8.7799    	19.000000	8.99149   	19.000000	8.8581    	19.000000	0.00365407	
20.000000	7.24808   	20.000000	8.5521    	20.000000	8.44796   	20.000000	8.66224   	20.000000	8.54862   	20.000000	0.00348947	
21.000000	6.99022   	21.000000	8.26445   	21.000000	8.14436   	21.000000	8.35986   	21.000000	8.26111   	21.000000	0.0033397 	
22.000000	6.75196   	22.000000	7.99656   	22.000000	7.86579   	22.000000	8.08142   	22.000000	7.99336   	22.000000	0.00320282	
23.000000	6.53113   	23.000000	7.74649   	23.000000	7.60952   	23.000000	7.82437   	23.000000	7.74341   	23.000000	0.00307721	
24.000000	6.32583   	24.000000	7.51253   	24.000000	7.37327   	24.000000	7.58654   	24.000000	7.50957   	24.000000	0.00296151	
25.000000	6.13447   	25.000000	7.2932    	25.000000	7.15504   	25.000000	7.36603   	25.000000	7.29034   	25.000000	0.00285458	
27.000000	5.78812   	27.000000	6.89328   	27.000000	6.76555   	27.000000	6.97055   	27.000000	6.89061   	27.000000	0.00266325	
29.000000	5.48294   	29.000000	6.53789   	29.000000	6.42917   	29.000000	6.62695   	29.000000	6.53539   	29.000000	0.00249697	
31.000000	5.21187   	31.000000	6.22001   	31.000000	6.12782   	31.000000	6.30865   	31.000000	6.21766   	31.000000	0.00235106	
33.000000	4.96942   	33.000000	5.93404   	33.000000	5.84984   	33.000000	6.00786   	33.000000	5.93182   	33.000000	0.00222194	
35.000000	4.75119   	35.000000	5.67542   	35.000000	5.59804   	35.000000	5.73698   	35.000000	5.67331   	35.000000	0.00210684	
38.000000	4.46178   	38.000000	5.33077   	38.000000	5.26245   	38.000000	5.37764   	38.000000	5.32882   	38.000000	0.00195578	
41.000000	4.20985   	41.000000	5.0294    	41.000000	4.96897   	41.000000	5.06492   	41.000000	5.02757   	41.000000	0.00182576	
44.000000	3.98845   	44.000000	4.76363   	44.000000	4.71016   	44.000000	4.79028   	44.000000	4.76192   	44.000000	0.0017126 	
47.000000	3.79226   	47.000000	4.52753   	47.000000	4.47958   	47.000000	4.54714   	47.000000	4.52592   	47.000000	0.00161319	
50.000000	3.61713   	50.000000	4.31639   	50.000000	4.27336   	50.000000	4.33036   	50.000000	4.31486   	50.000000	0.00152514	
55.000000	3.36345   	55.000000	4.01007   	55.000000	3.97425   	55.000000	4.01693   	55.000000	4.00867   	55.000000	0.00139872	
60.000000	3.14797   	60.000000	3.74962   	60.000000	3.71939   	60.000000	3.7514    	60.000000	3.74833   	60.000000	0.00129239	
65.000000	2.96253   	65.000000	3.52546   	65.000000	3.49984   	65.000000	3.52353   	65.000000	3.52426   	65.000000	0.00120167	
70.000000	2.80115   	70.000000	3.33047   	70.000000	3.30873   	70.000000	3.3258    	70.000000	3.32935   	70.000000	0.00112331	
75.000000	2.65935   	75.000000	3.15931   	75.000000	3.14096   	75.000000	3.15259   	75.000000	3.15825   	75.000000	0.00105492	
80.000000	2.53371   	80.000000	3.00784   	80.000000	2.99221   	80.000000	2.99957   	80.000000	3.00685   	80.000000	0.000994677	
85.000000	2.42156   	85.000000	2.87285   	85.000000	2.85968   	85.000000	2.86339   	85.000000	2.8719    	85.000000	0.000941201	
90.000000	2.3208    	90.000000	2.75177   	90.000000	2.74054   	90.000000	2.74141   	90.000000	2.75087   	90.000000	0.000893395	
95.000000	2.22973   	95.000000	2.64255   	95.000000	2.63311   	95.000000	2.6315    	95.000000	2.6417    	95.000000	0.000850391	
100.000000	2.14701   	100.000000	2.54353   	100.000000	2.53545   	100.000000	2.53195   	100.000000	2.54272   	100.000000	0.000811492	
105.000000	2.0715    	105.000000	2.45334   	105.000000	2.44682   	105.000000	2.44136   	105.000000	2.45256   	105.000000	0.000776129	
110.000000	2.00229   	110.000000	2.37084   	110.000000	2.36531   	110.000000	2.35856   	110.000000	2.37009   	110.000000	0.000743836	
115.000000	1.93859   	115.000000	2.29508   	115.000000	2.29059   	115.000000	2.28259   	115.000000	2.29436   	115.000000	0.000714223	
120.000000	1.87977   	120.000000	2.22527   	120.000000	2.22173   	120.000000	2.21262   	120.000000	2.22458   	120.000000	0.000686967	
125.000000	1.82527   	125.000000	2.16073   	125.000000	2.15799   	125.000000	2.14798   	125.000000	2.16007   	125.000000	0.000661794	
130.000000	1.77461   	130.000000	2.10089   	130.000000	2.09908   	130.000000	2.08808   	130.000000	2.10025   	130.000000	0.000638469	
135.000000	1.7274    	135.000000	2.04524   	135.000000	2.04417   	135.000000	2.03241   	135.000000	2.04463   	135.000000	0.000616796	
140.000000	1.68329   	140.000000	1.99337   	140.000000	1.9928    	140.000000	1.98054   	140.000000	1.99277   	140.000000	0.000596601	
145.000000	1.64198   	145.000000	1.94489   	145.000000	1.94481   	145.000000	1.93209   	145.000000	1.94431   	145.000000	0.000577736	
150.000000	1.60319   	150.000000	1.89948   	150.000000	1.90002   	150.000000	1.88674   	150.000000	1.89892   	150.000000	0.000560074	
155.000000	1.54842   	155.000000	1.85687   	155.000000	1.85788   	155.000000	1.8442    	155.000000	1.85633   	155.000000	0.0005435 	
160.000000	1.51639   	160.000000	1.8168    	160.000000	1.81819   	160.000000	1.80421   	160.000000	1.81627   	160.000000	0.000527916	
165.000000	1.48617   	165.000000	1.77904   	165.000000	1.78083   	165.000000	1.76655   	165.000000	1.77853   	165.000000	0.000513235	
170.000000	1.4576    	170.000000	1.74341   	170.000000	1.74558   	170.000000	1.73102   	170.000000	1.74291   	170.000000	0.000499379	
175.000000	1.43057   	175.000000	1.70973   	175.000000	1.71226   	175.000000	1.69746   	175.000000	1.70924   	175.000000	0.000486281	
180.000000	1.40493   	180.000000	1.67784   	180.000000	1.68073   	180.000000	1.66569   	180.000000	1.67736   	180.000000	0.000473877	
185.000000	1.3806    	185.000000	1.6476    	185.000000	1.65083   	185.000000	1.63559   	185.000000	1.64714   	185.000000	0.000462115	
