Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
17.000000	6.62412   	17.000000	7.78578   	17.000000	7.79313   	17.000000	7.93032   	17.000000	7.78251   	17.000000	0.00327188	
18.000000	6.34884   	18.000000	7.48275   	18.000000	7.45904   	18.000000	7.60028   	18.000000	7.47964   	18.000000	0.00310805	
19.000000	6.09768   	19.000000	7.20344   	19.000000	7.15588   	19.000000	7.29972   	19.000000	7.20048   	19.000000	0.00296055	
20.000000	5.86757   	20.000000	6.94524   	20.000000	6.87984   	20.000000	7.02507   	20.000000	6.94241   	20.000000	0.00282701	
21.000000	5.65592   	21.000000	6.70586   	21.000000	6.62772   	21.000000	6.77333   	21.000000	6.70315   	21.000000	0.00270552	
22.000000	5.46055   	22.000000	6.48335   	22.000000	6.39683   	22.000000	6.54193   	22.000000	6.48075   	22.000000	0.00259449	
23.000000	5.27964   	23.000000	6.276     	23.000000	6.18473   	23.000000	6.32867   	23.000000	6.27351   	23.000000	0.00249261	
24.000000	5.11159   	24.000000	6.08234   	24.000000	5.9892    	24.000000	6.13166   	24.000000	6.07994   	24.000000	0.00239877	
25.000000	4.95507   	25.000000	5.90106   	25.000000	5.80856   	25.000000	5.94927   	25.000000	5.89874   	25.000000	0.00231205	
27.000000	4.6721    	27.000000	5.5712    	27.000000	5.48685   	27.000000	5.62282   	27.000000	5.56905   	27.000000	0.00215689	
29.000000	4.42309   	29.000000	5.27882   	29.000000	5.20965   	29.000000	5.33991   	29.000000	5.27679   	29.000000	0.00202206	
31.000000	4.20217   	31.000000	5.01788   	31.000000	4.96078   	31.000000	5.0792    	31.000000	5.01598   	31.000000	0.00190376	
33.000000	4.00478   	33.000000	4.7836    	33.000000	4.73101   	33.000000	4.83397   	33.000000	4.78181   	33.000000	0.00179909	
35.000000	3.82728   	35.000000	4.57211   	35.000000	4.52325   	35.000000	4.61349   	35.000000	4.5704    	35.000000	0.00170578	
38.000000	3.59212   	38.000000	4.29081   	38.000000	4.24759   	38.000000	4.32154   	38.000000	4.28923   	38.000000	0.00158334	
41.000000	3.38765   	41.000000	4.04535   	41.000000	4.00674   	41.000000	4.06793   	41.000000	4.04387   	41.000000	0.00147796	
44.000000	3.20813   	44.000000	3.82928   	44.000000	3.79499   	44.000000	3.84555   	44.000000	3.8279    	44.000000	0.00138626	
47.000000	3.04919   	47.000000	3.63763   	47.000000	3.60685   	47.000000	3.64894   	47.000000	3.63632   	47.000000	0.00130571	
50.000000	2.90741   	50.000000	3.46647   	50.000000	3.43879   	50.000000	3.47386   	50.000000	3.46524   	50.000000	0.00123436	
55.000000	2.70224   	55.000000	3.21855   	55.000000	3.19542   	55.000000	3.22103   	55.000000	3.21741   	55.000000	0.00113193	
60.000000	2.52813   	60.000000	3.0081    	60.000000	2.98842   	60.000000	3.00712   	60.000000	3.00705   	60.000000	0.0010458 	
65.000000	2.37842   	65.000000	2.82721   	65.000000	2.8103    	65.000000	2.82374   	65.000000	2.82624   	65.000000	0.000972312	
70.000000	2.24823   	70.000000	2.67005   	70.000000	2.65578   	70.000000	2.66475   	70.000000	2.66915   	70.000000	0.000908843	
