Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
50.000000	2.58029   	50.000000	2.97029   	50.000000	2.94746   	50.000000	2.97529   	50.000000	2.96909   	50.000000	0.00119537	
55.000000	2.39765   	55.000000	2.75628   	55.000000	2.73971   	55.000000	2.75994   	55.000000	2.75518   	55.000000	0.00109645	
60.000000	2.24274   	60.000000	2.57508   	60.000000	2.56325   	60.000000	2.57774   	60.000000	2.57406   	60.000000	0.00101324	
65.000000	2.1096    	65.000000	2.41965   	65.000000	2.41158   	65.000000	2.42152   	65.000000	2.41871   	65.000000	0.000942222	
70.000000	1.99385   	70.000000	2.28484   	70.000000	2.27964   	70.000000	2.28606   	70.000000	2.28396   	70.000000	0.000880876	
75.000000	1.89224   	75.000000	2.16679   	75.000000	2.16405   	75.000000	2.16745   	75.000000	2.16596   	75.000000	0.000827325	
80.000000	1.80229   	80.000000	2.06253   	80.000000	2.06158   	80.000000	2.0627    	80.000000	2.06175   	80.000000	0.000780155	
85.000000	1.72205   	85.000000	1.96978   	85.000000	1.97006   	85.000000	1.9695    	85.000000	1.96904   	85.000000	0.000738276	
90.000000	1.65      	90.000000	1.88671   	90.000000	1.88828   	90.000000	1.88602   	90.000000	1.88601   	90.000000	0.000700833	
95.000000	1.58493   	95.000000	1.81188   	95.000000	1.81431   	95.000000	1.81082   	95.000000	1.81122   	95.000000	0.000667148	
100.000000	1.52584   	100.000000	1.74412   	100.000000	1.74707   	100.000000	1.7427    	100.000000	1.74348   	100.000000	0.000636676	
105.000000	1.47194   	105.000000	1.68245   	105.000000	1.68605   	105.000000	1.6807    	105.000000	1.68185   	105.000000	0.000608972	
110.000000	1.42255   	110.000000	1.6261    	110.000000	1.63011   	110.000000	1.62403   	110.000000	1.62552   	110.000000	0.00058367	
115.000000	1.37711   	115.000000	1.5744    	115.000000	1.5787    	115.000000	1.57203   	115.000000	1.57384   	115.000000	0.000560467	
120.000000	1.33516   	120.000000	1.52678   	120.000000	1.53135   	120.000000	1.52414   	120.000000	1.52624   	120.000000	0.00053911	
125.000000	1.29631   	125.000000	1.48279   	125.000000	1.48759   	125.000000	1.47988   	125.000000	1.48227   	125.000000	0.000519382	
130.000000	1.26021   	130.000000	1.44203   	130.000000	1.44701   	130.000000	1.43887   	130.000000	1.44152   	130.000000	0.000501103	
135.000000	1.22658   	135.000000	1.40414   	135.000000	1.40915   	135.000000	1.40074   	135.000000	1.40365   	135.000000	0.000484116	
140.000000	1.19516   	140.000000	1.36883   	140.000000	1.37394   	140.000000	1.36522   	140.000000	1.36836   	140.000000	0.000468288	
145.000000	1.16574   	145.000000	1.33585   	145.000000	1.34107   	145.000000	1.33203   	145.000000	1.3354    	145.000000	0.000453501	
150.000000	1.13812   	150.000000	1.30497   	150.000000	1.31019   	150.000000	1.30095   	150.000000	1.30453   	150.000000	0.000439656	
155.000000	1.09917   	155.000000	1.276     	155.000000	1.28119   	155.000000	1.2718    	155.000000	1.27557   	155.000000	0.000426663	
160.000000	1.07637   	160.000000	1.24876   	160.000000	1.25395   	160.000000	1.24439   	160.000000	1.24835   	160.000000	0.000414446	
165.000000	1.05486   	165.000000	1.22311   	165.000000	1.22828   	165.000000	1.21857   	165.000000	1.22271   	165.000000	0.000402936	
170.000000	1.03453   	170.000000	1.19891   	170.000000	1.20405   	170.000000	1.19422   	170.000000	1.19852   	170.000000	0.000392073	
175.000000	1.0153    	175.000000	1.17603   	175.000000	1.18115   	175.000000	1.1712    	175.000000	1.17565   	175.000000	0.000381803	
180.000000	0.997063  	180.000000	1.15438   	180.000000	1.15947   	180.000000	1.14941   	180.000000	1.15401   	180.000000	0.000372077	
185.000000	0.979753  	185.000000	1.13386   	185.000000	1.13893   	185.000000	1.12876   	185.000000	1.13349   	185.000000	0.000362854	
190.000000	0.963297  	190.000000	1.11437   	190.000000	1.11943   	190.000000	1.10916   	190.000000	1.11402   	190.000000	0.000354095	
195.000000	0.947634  	195.000000	1.09585   	195.000000	1.10085   	195.000000	1.09053   	195.000000	1.0955    	195.000000	0.000345765	
200.000000	0.932707  	200.000000	1.07822   	200.000000	1.08312   	200.000000	1.07281   	200.000000	1.07788   	200.000000	0.000337833	
210.000000	0.904862  	210.000000	1.0454    	210.000000	1.05024   	210.000000	1.03981   	210.000000	1.04508   	210.000000	0.000323052	
220.000000	0.879403  	220.000000	1.01547   	220.000000	1.02019   	220.000000	1.00973   	220.000000	1.01516   	220.000000	0.000309558	
230.000000	0.856036  	230.000000	0.988069  	230.000000	0.992684  	230.000000	0.982195  	230.000000	0.987772  	230.000000	0.000297186	
240.000000	0.834511  	240.000000	0.962886  	240.000000	0.967449  	240.000000	0.956905  	240.000000	0.9626    	240.000000	0.0002858 	
250.000000	0.814618  	250.000000	0.939664  	250.000000	0.944146  	250.000000	0.933597  	250.000000	0.939389  	250.000000	0.000275287	
260.000000	0.796177  	260.000000	0.918186  	260.000000	0.922577  	260.000000	0.91205   	260.000000	0.91792   	260.000000	0.000265548	
270.000000	0.779035  	270.000000	0.898263  	270.000000	0.902584  	270.000000	0.892075  	270.000000	0.898006  	270.000000	0.000256499	
280.000000	0.763059  	280.000000	0.879734  	280.000000	0.883996  	280.000000	0.873508  	280.000000	0.879486  	280.000000	0.000248069	
290.000000	0.748135  	290.000000	0.86246   	290.000000	0.866675  	290.000000	0.856209  	290.000000	0.86222   	290.000000	0.000240195	
300.000000	0.734162  	300.000000	0.846318  	300.000000	0.850497  	300.000000	0.840054  	300.000000	0.846085  	300.000000	0.000232824	
310.000000	0.721053  	310.000000	0.831203  	310.000000	0.835356  	310.000000	0.824936  	310.000000	0.830977  	310.000000	0.000225909	
320.000000	0.708731  	320.000000	0.817022  	320.000000	0.821157  	320.000000	0.810761  	320.000000	0.816802  	320.000000	0.000219407	
330.000000	0.697127  	330.000000	0.803691  	330.000000	0.807818  	330.000000	0.797445  	330.000000	0.803478  	330.000000	0.000213283	
340.000000	0.686182  	340.000000	0.791138  	340.000000	0.795263  	340.000000	0.784915  	340.000000	0.790931  	340.000000	0.000207504	
350.000000	0.675841  	350.000000	0.7793    	350.000000	0.783426  	350.000000	0.773105  	350.000000	0.779097  	350.000000	0.000202041	
360.000000	0.666057  	360.000000	0.768116  	360.000000	0.772263  	360.000000	0.761959  	360.000000	0.76792   	360.000000	0.000196869	
370.000000	0.656787  	370.000000	0.757538  	370.000000	0.761646  	370.000000	0.751365  	370.000000	0.757346  	370.000000	0.000191965	
380.000000	0.647993  	380.000000	0.747517  	380.000000	0.751556  	380.000000	0.741336  	380.000000	0.747329  	380.000000	0.000187308	
390.000000	0.639639  	390.000000	0.738012  	390.000000	0.74198   	390.000000	0.73183   	390.000000	0.737829  	390.000000	0.00018288	
400.000000	0.631694  	400.000000	0.728986  	400.000000	0.732925  	400.000000	0.722808  	400.000000	0.728807  	400.000000	0.000178664	
410.000000	0.624129  	410.000000	0.720405  	410.000000	0.724339  	410.000000	0.714237  	410.000000	0.72023   	410.000000	0.000174645	
420.000000	0.61692   	420.000000	0.712237  	420.000000	0.716165  	420.000000	0.706084  	420.000000	0.712067  	420.000000	0.000170809	
430.000000	0.610042  	430.000000	0.704456  	430.000000	0.708381  	430.000000	0.698322  	430.000000	0.704289  	430.000000	0.000167145	
440.000000	0.603474  	440.000000	0.697035  	440.000000	0.700968  	440.000000	0.690924  	440.000000	0.696871  	440.000000	0.00016364	
450.000000	0.597196  	450.000000	0.68995   	450.000000	0.693889  	450.000000	0.683866  	450.000000	0.68979   	450.000000	0.000160285	
460.000000	0.59119   	460.000000	0.683182  	460.000000	0.687104  	460.000000	0.677127  	460.000000	0.683024  	460.000000	0.000157069	
470.000000	0.58544   	470.000000	0.676709  	470.000000	0.680607  	470.000000	0.670687  	470.000000	0.676555  	470.000000	0.000153984	
480.000000	0.579931  	480.000000	0.670514  	480.000000	0.674409  	480.000000	0.664527  	480.000000	0.670363  	480.000000	0.000151023	
490.000000	0.574648  	490.000000	0.664581  	490.000000	0.668498  	490.000000	0.658631  	490.000000	0.664433  	490.000000	0.000148178	
500.000000	0.56958   	500.000000	0.658894  	500.000000	0.662832  	500.000000	0.652982  	500.000000	0.658749  	500.000000	0.000145441	
520.000000	0.560036  	520.000000	0.648204  	520.000000	0.652135  	520.000000	0.642374  	520.000000	0.648064  	520.000000	0.000140272	
540.000000	0.551216  	540.000000	0.638343  	540.000000	0.642307  	540.000000	0.632599  	540.000000	0.638207  	540.000000	0.00013547	
560.000000	0.543045  	560.000000	0.629224  	560.000000	0.633242  	560.000000	0.623569  	560.000000	0.629093  	560.000000	0.000130997	
580.000000	0.535459  	580.000000	0.620774  	580.000000	0.624802  	580.000000	0.615208  	580.000000	0.620647  	580.000000	0.00012682	
600.000000	0.528403  	600.000000	0.612926  	600.000000	0.617001  	600.000000	0.60745   	600.000000	0.612804  	600.000000	0.00012291	
620.000000	0.521829  	620.000000	0.605625  	620.000000	0.609764  	620.000000	0.600238  	620.000000	0.605506  	620.000000	0.000119243	
640.000000	0.515693  	640.000000	0.59882   	640.000000	0.602984  	640.000000	0.59352   	640.000000	0.598704  	640.000000	0.000115796	
660.000000	0.509959  	660.000000	0.592467  	660.000000	0.596659  	660.000000	0.587251  	660.000000	0.592354  	660.000000	0.000112549	
680.000000	0.504591  	680.000000	0.586527  	680.000000	0.590778  	680.000000	0.581392  	680.000000	0.586418  	680.000000	0.000109486	
700.000000	0.499561  	700.000000	0.580966  	700.000000	0.58527   	700.000000	0.575908  	700.000000	0.58086   	700.000000	0.000106591	
720.000000	0.494841  	720.000000	0.575753  	720.000000	0.580084  	720.000000	0.570768  	720.000000	0.57565   	720.000000	0.00010385	
740.000000	0.490409  	740.000000	0.570861  	740.000000	0.575203  	740.000000	0.565944  	740.000000	0.57076   	740.000000	0.000101251	
760.000000	0.486243  	760.000000	0.566265  	760.000000	0.570617  	760.000000	0.56141   	760.000000	0.566166  	760.000000	9.87842e-05	
780.000000	0.482322  	780.000000	0.561942  	780.000000	0.566312  	780.000000	0.557144  	780.000000	0.561845  	780.000000	9.64386e-05	
800.000000	0.47863   	800.000000	0.557873  	800.000000	0.562272  	800.000000	0.553127  	800.000000	0.557778  	800.000000	9.42056e-05	
820.000000	0.475152  	820.000000	0.554039  	820.000000	0.558469  	820.000000	0.549338  	820.000000	0.553947  	820.000000	9.20773e-05	
840.000000	0.471872  	840.000000	0.550424  	840.000000	0.554875  	840.000000	0.545763  	840.000000	0.550334  	840.000000	9.00463e-05	
860.000000	0.468777  	860.000000	0.547013  	860.000000	0.551466  	860.000000	0.542385  	860.000000	0.546925  	860.000000	8.81062e-05	
880.000000	0.465857  	880.000000	0.543793  	880.000000	0.548235  	880.000000	0.539192  	880.000000	0.543707  	880.000000	8.62507e-05	
900.000000	0.463098  	900.000000	0.540751  	900.000000	0.545174  	900.000000	0.53617   	900.000000	0.540667  	900.000000	8.44745e-05	
920.000000	0.460493  	920.000000	0.537876  	920.000000	0.542276  	920.000000	0.533308  	920.000000	0.537793  	920.000000	8.27724e-05	
940.000000	0.458031  	940.000000	0.535157  	940.000000	0.539534  	940.000000	0.530596  	940.000000	0.535076  	940.000000	8.114e-05 	
960.000000	0.455704  	960.000000	0.532585  	960.000000	0.53694   	960.000000	0.528024  	960.000000	0.532505  	960.000000	7.9573e-05	
980.000000	0.453505  	980.000000	0.530151  	980.000000	0.534486  	980.000000	0.525584  	980.000000	0.530073  	980.000000	7.80674e-05	
1000.000000	0.451425  	1000.000000	0.527847  	1000.000000	0.532159  	1000.000000	0.523266  	1000.000000	0.52777   	1000.000000	7.66197e-05	
1020.000000	0.44946   	1020.000000	0.525665  	1020.000000	0.529946  	1020.000000	0.521064  	1020.000000	0.52559   	1020.000000	7.52265e-05	
1040.000000	0.447601  	1040.000000	0.523599  	1040.000000	0.527836  	1040.000000	0.518971  	1040.000000	0.523525  	1040.000000	7.38849e-05	
1060.000000	0.445844  	1060.000000	0.521641  	1060.000000	0.525824  	1060.000000	0.51698   	1060.000000	0.521569  	1060.000000	7.25919e-05	
1080.000000	0.444183  	1080.000000	0.519787  	1080.000000	0.523905  	1080.000000	0.515086  	1080.000000	0.519716  	1080.000000	7.1345e-05	
1100.000000	0.442614  	1100.000000	0.518031  	1100.000000	0.522076  	1100.000000	0.513282  	1100.000000	0.517961  	1100.000000	7.01416e-05	
1120.000000	0.441132  	1120.000000	0.516367  	1120.000000	0.520333  	1120.000000	0.511564  	1120.000000	0.516298  	1120.000000	6.89796e-05	
1140.000000	0.439732  	1140.000000	0.514791  	1140.000000	0.518672  	1140.000000	0.509928  	1140.000000	0.514723  	1140.000000	6.78568e-05	
1160.000000	0.43841   	1160.000000	0.513298  	1160.000000	0.517091  	1160.000000	0.508368  	1160.000000	0.513232  	1160.000000	6.67712e-05	
1180.000000	0.437164  	1180.000000	0.511885  	1180.000000	0.515585  	1180.000000	0.50688   	1180.000000	0.511819  	1180.000000	6.57209e-05	
1200.000000	0.435988  	1200.000000	0.510546  	1200.000000	0.514151  	1200.000000	0.505462  	1200.000000	0.510481  	1200.000000	6.47044e-05	
1220.000000	0.434881  	1220.000000	0.509279  	1220.000000	0.512787  	1220.000000	0.504108  	1220.000000	0.509216  	1220.000000	6.37198e-05	
1240.000000	0.433839  	1240.000000	0.508081  	1240.000000	0.511488  	1240.000000	0.502816  	1240.000000	0.508018  	1240.000000	6.27659e-05	
1260.000000	0.432859  	1260.000000	0.506947  	1260.000000	0.510249  	1260.000000	0.501583  	1260.000000	0.506885  	1260.000000	6.1841e-05	
1280.000000	0.431938  	1280.000000	0.505876  	1280.000000	0.509065  	1280.000000	0.500406  	1280.000000	0.505815  	1280.000000	6.0944e-05	
1300.000000	0.431074  	1300.000000	0.504863  	1300.000000	0.507934  	1300.000000	0.499282  	1300.000000	0.504803  	1300.000000	6.00734e-05	
1320.000000	0.430264  	1320.000000	0.503908  	1320.000000	0.50685   	1320.000000	0.498208  	1320.000000	0.503848  	1320.000000	5.92283e-05	
1340.000000	0.429507  	1340.000000	0.503006  	1340.000000	0.505812  	1340.000000	0.497182  	1340.000000	0.502948  	1340.000000	5.84074e-05	
1360.000000	0.428799  	1360.000000	0.502156  	1360.000000	0.504818  	1360.000000	0.496202  	1360.000000	0.502099  	1360.000000	5.76098e-05	
1380.000000	0.42814   	1380.000000	0.501356  	1380.000000	0.503867  	1380.000000	0.495265  	1380.000000	0.501299  	1380.000000	5.68343e-05	
